"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","InJu2","InChM","InCf2","Hrm_rel","Hrm_oth","v_288","InIrr","InCu","InRsn2","InGut","v_164","v_165","v_166","dupl1_v_215","crt1","v_217","crt2","v_218","crt3","v_266","v_267","v_268","v_269","v_270","v_271","v_272","v_273","v_274","v_275","v_276","v_277","v_278","v_279","v_280","v_281","v_282","v_283","v_284","v_285","v_286","v_219","v_220","v_221","v_222","v_223","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","v_242","v_243","v_244","v_245","v_246","v_247","v_248","v_249","v_250","v_251","v_252","v_253","v_254","v_255","v_256","v_257","v_258","v_259","v_260","v_261","v_262","v_263","v_264","v_265","v_287","v_289","ethics","ethStR","Prv_in","Prv_in_S","v_215","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","condition","NFC_lie","NFC","nfc_order","nfc_pred","nfc_dec","nfc_amb","nfc_clos","crt_tot","Ju1_bin","Ju2_bin","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5"
6,0,"no tester","Completed (31)","3450571                     ",NA,542,NA,NA,"Yes","Male",32,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Moral judgment is an evaluation of the actions and character of a person made with respect to societal norms. Although many types of vignettes have been used in previous studies on moral beliefs and judgment, what is missing is a set of standardized comm",5,"it was really good and interesting                                                                                                                                                                                                                            ",5,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","it was really good and interesting                                                                                                                                                                                                                            ",5,"5",5,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","5","5","5","5","5","Yes","Yes","52                                                                                                                                                                                                                                                            ",0,"5                                                                                                                                                                                                                                                             ",1,"10                                                                                                                                                                                                                                                            ",0,"not quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted",3,2,4,4,3,3,3,5,4,5,5,3,2,4,5,2,4,5,2,2,5,4,3,4,3,5,5,3,3,4,5,5,4,4,4,3,3,4,5,2,3,5,5,5,5,5,2,"5                                                                                                                                                                                                                                                             ","Soccer","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","Asia","India","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3450518,3450519,3450520,3450521,3450522,3450523,3450524,3450525,3450526,3450563,3450561,3450565,3450562,3450564,3450527,3450528,3450529,3450530,3450531,3450532,3450533,3450534,3450535,3450536,3450537,3450538,3450539,3450540,3450541,3450542,3450543,345054","Flipped","Flipped","HTML",NA,NA,"48871e05f105d866766d8abbb81bb437                                                                                                ","English","Not cleaned","short",24,154,33,32,20,41,28,1,"right","right","not wrong","wrong","wrong","wrong","wrong","not wrong",TRUE,FALSE,FALSE,FALSE,TRUE
87,0,"no tester","Completed (31)","3450571                     ",NA,1492,NA,NA,"Yes","Female",51,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","what is wrong is wrong no matter if anyone sees it, gets hurt or what ever. its wrong                                                                                                                                                                         ",1,"they are brother and sister. that is just wrong.  you dont do something like that with family.                                                                                                                                                                ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","they are blood. blood does not do that. as they get older and it ever comes out everyone will think they are sick.                                                                                                                                            ",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","7: Extremely Irritated","1: Not at all","7: Extremely","4: neutral","1: Morally wrong","No","No","10                                                                                                                                                                                                                                                            ",0,"100                                                                                                                                                                                                                                                           ",0,"12                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,4,4,5,4,4,3,5,3,4,5,4,5,5,1,5,5,5,5,6,5,1,6,5,3,5,5,1,2,5,5,5,6,4,4,6,4,5,1,4,3,6,3,2,5,2,3,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3450518,3450519,3450520,3450521,3450522,3450523,3450524,3450525,3450526,3450527,3450528,3450529,3450530,3450531,3450532,3450533,3450534,3450535,3450536,3450537,3450538,3450539,3450540,3450541,3450542,3450543,3450544,3450545,3450546,3450547,3450548,345054","Not flipped","Not flipped","HTML",NA,NA,"e7737be8a6a92261c08836efd11c0c60                                                                                                ","English","Not cleaned","short",12,181,41,37,34,40,29,0,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
70,0,"no tester","Completed (31)","3450571                     ",NA,711,NA,NA,"Yes","Female",55,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Wrong is wrong no matter the reason but especially just to have fun. A person getting hurt is relevant.                                                                                                                                                       ",1,"I don't know what it is called but it is sick. God forbids it in the Bible.                                                                                                                                                                                   ",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","God calls it an abomination.                                                                                                                                                                                                                                  ",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","Yes","7: Extremely Irritated","1: Not at all","7: Extremely","7: Extremely","1: Morally wrong","Yes","Yes","10                                                                                                                                                                                                                                                            ",0,"5                                                                                                                                                                                                                                                             ",1,"12                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,3,6,6,6,5,6,5,4,4,6,6,6,5,5,6,5,6,6,6,5,1,6,6,NA,6,6,5,2,6,4,6,6,5,5,5,5,6,2,2,2,5,1,5,6,5,6,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3450518,3450519,3450520,3450521,3450522,3450523,3450524,3450525,3450526,3450565,3450563,3450564,3450562,3450561,3450527,3450528,3450529,3450530,3450531,3450532,3450533,3450534,3450535,3450536,3450537,3450538,3450539,3450540,3450541,3450542,3450543,345054","Flipped","Flipped","HTML",NA,NA,"bb0ca48e8d7f72234a98905107c4af27                                                                                                ","English","Not cleaned","short",15,NA,54,47,36,47,NA,1,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
19,0,"no tester","Completed (31)","3450571                     ",NA,514,NA,NA,"Yes","Male",24,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",2,"Incest is never right. There are plenty of other people to have sex with.                                                                                                                                                                                     ",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Unsure","It's wrong and I can provide a valid reason.","Incest is not good. Their lives would be ruined if the Julie accidentally got pregnant.                                                                                                                                                                       ",1,"1: Not at all",7,"Yes, I am able to believe this","No, I am not able to believe this","Yes","7: Extremely Irritated","4: neutral","7: Extremely","7: Extremely","1: Morally wrong","No","No",".05                                                                                                                                                                                                                                                           ",1,"100                                                                                                                                                                                                                                                           ",0,"24                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,1,6,4,1,5,NA,6,6,6,4,1,1,1,6,1,6,6,1,5,6,1,1,6,1,6,6,1,1,6,3,6,6,5,5,6,2,6,6,1,3,6,6,2,6,1,3,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3450518,3450519,3450520,3450521,3450522,3450523,3450524,3450526,3450527,3450528,3450529,3450530,3450531,3450532,3450533,3450534,3450535,3450536,3450537,3450538,3450539,3450540,3450541,3450542,3450543,3450544,3450545,3450546,3450547,3450548,3450549,345055","Flipped","Flipped","HTML",NA,NA,"5cf3b7788e8297cc8424332231e3cba1                                                                                                ","English","Not cleaned","short",20,NA,41,NA,12,51,24,1,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
54,0,"no tester","Completed (31)","3450571                     ",NA,451,NA,NA,"Yes","Female",34,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",6,"They are gonna do what they are gonna do                                                                                                                                                                                                                      ",7,"No","Yes","Unsure","No","Yes","No, I have no reason","Yes","No","Yes, I have a reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",5,"7: Extremely",6,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","4: neutral","3","5","4: neutral","7: Morally acceptable","No","Yes",".10                                                                                                                                                                                                                                                           ",0,"100                                                                                                                                                                                                                                                           ",0,"24                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",3,2,4,4,3,4,3,4,5,4,4,2,2,4,NA,3,5,3,3,3,4,4,3,5,5,4,3,4,2,4,4,4,4,4,5,2,4,3,4,4,4,4,4,3,4,5,2,"13                                                                                                                                                                                                                                                            ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3450518,3450519,3450520,3450521,3450522,3450523,3450524,3450526,3450527,3450528,3450529,3450530,3450531,3450532,3450533,3450534,3450535,3450536,3450537,3450538,3450539,3450540,3450541,3450542,3450543,3450544,3450546,3450547,3450548,3450549,3450551,345055","Not flipped","Flipped","HTML",NA,NA,"a82076682c03aead8b3f4976ccca7c6a                                                                                                ","English","Not cleaned","short",20,NA,38,28,23,NA,26,0,"right","right","not wrong","wrong","wrong","not wrong","wrong","not wrong",TRUE,FALSE,TRUE,TRUE,TRUE
63,0,"no tester","Completed (31)","3450571                     ",NA,1186,NA,NA,"Yes","Female",48,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","To hurt someone or cause them grief is something that I would not do and is against my morals and principles, even if it is just for fun.                                                                                                                     ",6,"They are two consenting adult and quite capable of making that decision.                                                                                                                                                                                      ",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",5,"1: Not at all",5,"Yes, I am able to believe this","Yes, I am able to believe this","Yes","1: Not at all","1: Not at all","6","6","5","No","Yes",".10                                                                                                                                                                                                                                                           ",0,"100                                                                                                                                                                                                                                                           ",0,"24                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,1,6,6,6,5,5,2,2,2,6,6,1,3,2,6,6,2,6,6,6,1,6,4,1,6,6,1,1,6,6,6,6,5,5,5,5,2,1,1,1,6,1,6,6,6,1,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3450518,3450519,3450520,3450521,3450522,3450523,3450524,3450525,3450526,3450563,3450561,3450564,3450562,3450565,3450527,3450528,3450529,3450530,3450531,3450532,3450533,3450534,3450535,3450536,3450537,3450538,3450539,3450540,3450541,3450542,3450543,345054","Flipped","Flipped","HTML",NA,NA,"892ae13c950b2a5b6787cd23f55522c8                                                                                                ","English","Not cleaned","short",11,180,43,43,29,42,23,0,"right","right","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE
3,0,"no tester","Completed (31)","3450571                     ",NA,657,NA,NA,"Yes","Female",30,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","I think you shouldn't do anything intentional that may upset someone. If its not necessary it jut shouldn't be done if it will hurt someones feelings and a lot of times going out of moral norms upset people                                                ",1,"It's just disgusting, its not right in any fashion. I believe they both know that or they wouldn't feel the need to keep it a secret.                                                                                                                         ",7,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",1,"1: Not at all",5,"No, I am not able to believe this","No, I am not able to believe this","Yes","7: Extremely Irritated","4: neutral","4: neutral","6","4: neutral","No","No","10                                                                                                                                                                                                                                                            ",0,"100                                                                                                                                                                                                                                                           ",0,"24                                                                                                                                                                                                                                                            ",0,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted",5,5,6,5,6,5,5,5,5,3,5,NA,6,4,3,NA,4,5,NA,6,4,3,6,6,3,1,5,6,3,5,4,6,4,5,5,3,5,6,2,4,2,6,4,4,6,3,6,"9                                                                                                                                                                                                                                                             ","Hockey","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","3450518,3450519,3450520,3450521,3450522,3450523,3450524,3450525,3450526,3450562,3450564,3450563,3450561,3450527,3450528,3450529,3450530,3450531,3450532,3450533,3450534,3450535,3450536,3450537,3450538,3450539,3450540,3450541,3450542,3450543,3450544,345054","Not flipped","Not flipped","HTML",NA,NA,"2fc1c24a656babcb195f59d903541310                                                                                                ","English","Not cleaned","short",17,NA,54,NA,NA,44,28,0,"wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE
